id_arista,origen,destino,rol_origen,rol_destino,comunidad_origen,comunidad_destino,tipo_relacion,peso,monto,fecha,riesgo,comentario
E001,MIN_PALPATINE,FUN_HOFF,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-02-11,1,Coordinación de bases de licitación.
E002,MIN_PALPATINE,FUN_JERJERROD,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-23,1,Mensaje encriptado detectado por auditoría.
E003,MIN_PALPATINE,FUN_OURO,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-04,1,Favor político solicitado con urgencia.
E004,ASE_TARKIN,FUN_HOFF,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-02-09,1,Modificación de contrato a última hora.
E005,ASE_TARKIN,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-01-21,1,Presión indebida para acelerar firma.
E006,ASE_THRAWN,FUN_KRENNIC,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-01-11,1,Transferencia de fondos a cuenta externa.
E007,ASE_THRAWN,FUN_HOFF,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-03-22,1,Mensaje encriptado detectado por auditoría.
E008,ASE_THRAWN,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-03-08,1,Coordinación de bases de licitación.
E009,ASE_THRAWN,FUN_GRIEVOUS,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-02-08,1,Transferencia de fondos a cuenta externa.
E010,ASE_THRAWN,FUN_OURO,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-01-15,1,Presión indebida para acelerar firma.
E011,POL_VALORUM,FUN_KRENNIC,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-30,1,Coordinación de bases de licitación.
E012,POL_VALORUM,FUN_HOFF,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-27,1,Presión indebida para acelerar firma.
E013,POL_VALORUM,FUN_JERJERROD,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-02-03,1,Coordinación de bases de licitación.
E014,POL_VALORUM,FUN_GRIEVOUS,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-02-03,1,Favor político solicitado con urgencia.
E015,POL_VALORUM,FUN_OURO,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-02-11,1,Coordinación de bases de licitación.
E016,POL_PADME,FUN_KRENNIC,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-02-20,1,Presión indebida para acelerar firma.
E017,POL_PADME,FUN_HOFF,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-02-25,1,Modificación de contrato a última hora.
E018,POL_PADME,FUN_OURO,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-01-29,1,Adjudicación directa sin concurso público.
E019,ASE_PESTAGE,FUN_OURO,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-02-04,1,Mensaje encriptado detectado por auditoría.
E020,ASE_DOOKU,FUN_KRENNIC,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-02-18,1,Presión indebida para acelerar firma.
E021,ASE_DOOKU,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-13,1,Adjudicación directa sin concurso público.
E022,ASE_DOOKU,FUN_OURO,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-01-27,1,Encubrimiento de faltas administrativas.
E023,FUN_KRENNIC,FUN_PIETT,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,2,0,2026-03-14,0,Transferencia de fondos a cuenta externa.
E024,FUN_KRENNIC,FUN_YULAREN,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,2,0,2026-01-17,1,Llamada telefónica fuera de horario laboral.
E025,FUN_HOFF,FUN_PIETT,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,2,0,2026-03-18,0,Reunión informal en cafetería céntrica.
E026,FUN_HOFF,FUN_YULAREN,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,5,0,2026-01-12,0,Transferencia de fondos a cuenta externa.
E027,FUN_HOFF,FUN_NEEDA,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,1,0,2026-03-07,0,Presión indebida para acelerar firma.
E028,FUN_GRIEVOUS,FUN_PIETT,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,3,0,2026-02-25,0,Reunión informal en cafetería céntrica.
E029,FUN_OURO,FUN_PIETT,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,3,0,2026-03-13,1,Modificación de contrato a última hora.
E030,FUN_OURO,FUN_YULAREN,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,1,0,2026-01-14,0,Presión indebida para acelerar firma.
E031,FUN_OURO,FUN_NEEDA,FUNCIONARIO,FUNCIONARIO,COMPRAS,FISCALIZACION,ENCUBRIMIENTO,5,0,2026-01-20,1,Llamada telefónica fuera de horario laboral.
E032,MIN_PALPATINE,INT_BOBA_FETT,POLITICO,INTERMEDIARIO,GABINETE,INTERMEDIARIOS,LLAMADA,4,0,2026-03-27,1,Adjudicación directa sin concurso público.
E033,ASE_TARKIN,INT_BOBA_FETT,ASESOR,INTERMEDIARIO,GABINETE,INTERMEDIARIOS,REUNION,3,0,2026-01-23,0,Encubrimiento de faltas administrativas.
