id_arista,origen,destino,rol_origen,rol_destino,comunidad_origen,comunidad_destino,tipo_relacion,peso,monto,fecha,riesgo,comentario
E001,MIN_PALPATINE,FUN_KRENNIC,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-03-12,1,Favor político solicitado con urgencia.
E002,MIN_PALPATINE,FUN_HOFF,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-01-25,1,Mensaje encriptado detectado por auditoría.
E003,MIN_PALPATINE,FUN_OURO,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-27,1,Favor político solicitado con urgencia.
E004,ASE_TARKIN,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-01-06,1,Mensaje encriptado detectado por auditoría.
E005,ASE_TARKIN,FUN_GRIEVOUS,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-02-09,1,Encubrimiento de faltas administrativas.
E006,ASE_THRAWN,FUN_KRENNIC,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-02-01,1,Reunión informal en cafetería céntrica.
E007,ASE_THRAWN,FUN_HOFF,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,1,0,2026-03-31,1,Coordinación de bases de licitación.
E008,ASE_THRAWN,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-02-14,1,Mensaje encriptado detectado por auditoría.
E009,POL_VALORUM,FUN_KRENNIC,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-01-13,1,Adjudicación directa sin concurso público.
E010,POL_VALORUM,FUN_HOFF,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,3,0,2026-03-31,1,Mensaje encriptado detectado por auditoría.
E011,POL_VALORUM,FUN_JERJERROD,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-22,1,Adjudicación directa sin concurso público.
E012,POL_PADME,FUN_JERJERROD,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-02-10,1,Favor político solicitado con urgencia.
E013,POL_PADME,FUN_GRIEVOUS,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-14,1,Reunión informal en cafetería céntrica.
E014,POL_PADME,FUN_OURO,POLITICO,FUNCIONARIO,GABINETE,COMPRAS,PRESION,2,0,2026-01-18,1,Llamada telefónica fuera de horario laboral.
E015,ASE_PESTAGE,FUN_KRENNIC,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-05,1,Adjudicación directa sin concurso público.
E016,ASE_PESTAGE,FUN_JERJERROD,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-06,1,Modificación de contrato a última hora.
E017,ASE_PESTAGE,FUN_GRIEVOUS,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,4,0,2026-03-21,1,Llamada telefónica fuera de horario laboral.
E018,ASE_DOOKU,FUN_KRENNIC,ASESOR,FUNCIONARIO,GABINETE,COMPRAS,PRESION,5,0,2026-01-18,1,Adjudicación directa sin concurso público.
